id,menu_item
1,Paneer Tikka
2,Paneer Butter Masala
3,Paneer Kadai
4,Paneer Bhurji
5,Shahi Paneer
6,Palak Paneer
7,Matar Paneer
8,Chilli Paneer
9,Paneer Lababdar
10,Paneer Do Pyaza
11,Dal Tadka
12,Dal Makhani
13,Dal Fry
14,Dal Palak
15,Dal Bukhara
16,Chole
17,Rajma Masala
18,Aloo Gobi
19,Aloo Jeera
20,Aloo Matar
21,Aloo Palak
22,Bhindi Masala
23,Baingan Bharta
24,Mix Veg
25,Veg Kolhapuri
26,Veg Handi
27,Malai Kofta
28,Navratan Korma
29,Matar Mushroom
30,Mushroom Masala
31,Kaju Masala
32,Butter Chicken
33,Chicken Tikka
34,Chicken Tikka Masala
35,Chicken Korma
36,Chicken Curry
37,Chicken Handi
38,Chicken Kadai
39,Chicken Do Pyaza
40,Chicken Lababdar
41,Chilli Chicken
42,Chicken 65
43,Chicken Biryani
44,Mutton Biryani
45,Mutton Rogan Josh
46,Mutton Korma
47,Mutton Curry
48,Mutton Handi
49,Egg Curry
50,Egg Bhurji
51,Egg Masala
52,Veg Biryani
53,Hyderabadi Biryani
54,Lucknowi Biryani
55,Paneer Biryani
56,Mushroom Biryani
57,Jeera Rice
58,Steamed Rice
59,Peas Pulao
60,Veg Pulao
61,Kashmiri Pulao
62,Tandoori Roti
63,Butter Roti
64,Plain Naan
65,Butter Naan
66,Garlic Naan
67,Cheese Naan
68,Stuffed Naan
69,Missi Roti
70,Lachha Paratha
71,Aloo Paratha
72,Gobi Paratha
73,Paneer Paratha
74,Methi Paratha
75,Poori Bhaji
76,Chole Bhature
77,Amritsari Kulcha
78,Masala Dosa
79,Plain Dosa
80,Mysore Masala Dosa
81,Cheese Dosa
82,Rava Dosa
83,Onion Dosa
84,Paneer Dosa
85,Idli
86,Medu Vada
87,Sambar Vada
88,Masala Vada
89,Uttapam
90,Onion Uttapam
91,Paneer Uttapam
92,Lemon Rice
93,Curd Rice
94,Tomato Rice
95,Veg Hakka Noodles
96,Schezwan Noodles
97,Chilli Garlic Noodles
98,Veg Fried Rice
99,Schezwan Fried Rice
100,Manchurian
101,Gobi Manchurian
102,Paneer Manchurian
103,Spring Rolls
104,Veg Momos
105,Paneer Momos
106,Chicken Momos
107,Chilli Potato
108,Honey Chilli Potato
109,Crispy Corn
110,French Fries
111,Peri Peri Fries
112,Cheese Fries
113,Masala Fries
114,Margherita Pizza
115,Farmhouse Pizza
116,Paneer Pizza
117,Veggie Pizza
118,Cheese Burst Pizza
119,Corn Pizza
120,Mushroom Pizza
121,Chicken Pizza
122,BBQ Chicken Pizza
123,Pepperoni Pizza
124,Veg Burger
125,Paneer Burger
126,Cheese Burger
127,Chicken Burger
128,Crispy Chicken Burger
129,Veg Sandwich
130,Grilled Sandwich
131,Cheese Sandwich
132,Paneer Sandwich
133,Club Sandwich
134,Veg Wrap
135,Paneer Wrap
136,Chicken Wrap
137,Falafel Wrap
138,Cheese Roll
139,Samosa
140,Paneer Samosa
141,Aloo Samosa
142,Kachori
143,Pyaz Kachori
144,Bread Pakora
145,Aloo Pakora
146,Paneer Pakora
147,Onion Pakora
148,Mirchi Pakora
149,Dahi Puri
150,Pani Puri
151,Sev Puri
152,Bhel Puri
153,Aloo Chaat
154,Papdi Chaat
155,Raj Kachori
156,Dahi Vada
157,Basket Chaat
158,Pav Bhaji
159,Vada Pav
160,Dabeli
161,Misal Pav
162,Pav Sandwich
163,Cheese Pav Bhaji
164,Masala Maggi
165,Cheese Maggi
166,Veg Maggi
